199|Exonerate|acquit, exculpate|After long legal battle, he was exonerated of murder charges.
200|Expunge|delete, cancel|I shall request the Principal to expunge the unfavourable remarks from your annual report.
201|Extol|praise, glorify|Every Indian extolled the achievement of the Govt. in curbing the militancy in the state.
202|Emulate|imitate, follow|We must emulate the ideals of Netaji to make our country strong and invincible.
203|Enhance|increase, improve|The judicious use of cosmetics enhance the natural charms.
204|Estranged|separated|The estranged husband and wife are living separately.
205|Expediency|advisable, practical|Those who hanker after material gains are often guided by expediency and not by moral sense.
206|Extraneous|not essential, external|Bigotry is extraneous to the basic tenets of Hinduism.
207|Extort|get money by threats|Anti-social elements are busy in extorting money from the businessmen with the connivance of the police.
208|Evasive|not frank, avoiding|The police could not make out anything of her evasive replies.
209|Ennui|mental boredom|The modern youth suffer from feeling of ennui since they are not engaged in any constructive work.
210|Exquisite|beautiful|The picture hanging on the wall is an exquisite work of art.
211|Encomium|praise|Every member of the family showered encomium on his grand success.
212|Erode|decay|The desire for material success has eroded our concern for the poor.
213|Erudite|learned, scholarly|His writings are not erudite but they are read with keen interest.
214|Eschew|avoid, give up|We must eschew violence in dealing with national issues.
215|Epoch|period of time, era|The exact duration of Indus Valley Civilization epoch has not been determined so far.
216|Equanimity|calmness|We must bear the hardships with equanimity.
217|Enormous|huge, immense|On account of fire there was enormous loss of goods and property.
218|Endemic|prevailing in a region|Goitre is endemic in the hilly areas for want of iodine in water.
219|Expiate|atone for|He is ready to expiate his sins by giving up irresponsible way of life.
220|Embellish|decorate|The writers generally embellish their style by the use of unnecessary imagery.
221|Ecology|science of environment|Ecology is the study of environment.
222|Egregious|exceptional (crime)|It is difficult to reform him because he is an egregious criminal.
223|Exodus|departure (large scale)|The exodus of the Hindus from Kashmir valley is deplorable.
224|Errant|erring from right path|Many errant students were punished.
225|Errand|short visit to fetch something|My servant has gone on errand to fetch rations.
226|Erroneous|incorrect, mistaken|It is erroneous idea on your part that he will return home at last.
227|Envisage|foresee in mind|It was difficult for everyone to envisage the loss in such a profitable venture.
228|Emancipate|make free|Raja Ram Mohan Roy tried to emancipate women from many social evils.
229|Flagrant|glaring, openly wicked|It is not easy to pardon such flagrant violation of the decorum of the House.
230|Fickle|changeable, faithless|Fickle minded persons cannot be relied upon.
231|Filial|of son or daughter|Children must fulfil their filial duties towards their parents.
232|Fray|brawl, contest|The miscreants involved in the fray were arrested by the police.
233|Facile|easy, expert|India could achieve facile victory in the match yesterday.
234|Fallible|liable to err|Man is fallible.
235|Fervent|ardent, warm|My friend was accorded fervent welcome on his arrival.
236|Fete|outdoor entertainment, carnival|A charity fete was held in our college yesterday.
237|Fictitious|imaginary|Don't believe his story because it is just fictitious.
238|Foolhardy|rash, reckless|Many believe that trying for impossible things is foolhardy attempt.
239|Fiat|command|The Court issued a fiat to both the parties to maintain status quo.
240|Finale|conclusion|The finale of the match was very interesting.
241|Fitful|spasmodic, intermittent|You are not going to achieve anything by pursuing fitful study.
242|Fraught|filled, threatening|Security problem on our borders is fraught with danger.
243|Fortitude|bravery, courage|One must face the problems of life with fortitude.
244|Feasible|practicable|We must execute proposal that is feasible.
245|Ferment|agitation, commotion|During Quit India Movement, the whole nation was in ferment.
246|Franchise|right by government to vote or trade|The Mughals granted franchise to East India Company to carry on trade in India.
247|Foible|weakness|Man is subject to foibles and frailties in life.
248|Flaunt|display ostentatiously|The rich are in the habit of flaunting their material achievements.
249|Flout|reject, mock|No good citizen will flout the rules of the road.
250|Foment|stir up, instigate|The decision of the Govt. is likely to foment disagreement among the opposition parties.
